gene,log2
ESM1,0.05253
GZMK,0.05253
GZMA,0.05253
CDC20B,0.05253
MCIDAS,0.05253
CCNO,0.05253
DHX29,0.05253
DDX4,0.05253
IL31RA,0.05253
IL6ST,0.05253
FLJ31104,0.05253
ANKRD55,0.05253
C5orf67,0.05253
MAP3K1,0.05253
SETD9,0.05253
MIER3,0.05253
GPBP1,0.05253
ACTBL2,0.05253
PLK2,0.05253
GAPT,0.05253
PDE4D,0.05253
DEPDC1B,0.05253
ELOVL7,0.05253
ERCC8,0.05253
NDUFAF2,0.05253
SMIM15,0.05253
ZSWIM6,0.05253
C5orf64,0.05253
IPO11,0.05253
HTR1A,0.05253
RNF180,0.05253
RGS7BP,0.05253
SREK1IP1,0.05253
CWC27,0.05253
ADAMTS6,0.05253
CENPK,0.05253
PPWD1,0.05253
TRAPPC13,0.05253
SGTB,0.05253
NLN,0.05253
SREK1,0.05253
MAST4,0.05253
CD180,0.05253
PIK3R1,0.05253
SLC30A5,0.05253
CCNB1,0.05253
CENPH,0.05253
MRPS36,0.05253
CDK7,0.05253
CCDC125,0.05253
RAD17,0.05253
MARVELD2,0.05253
OCLN,0.05253
SERF1A,-0.58175
SMN2,-0.58175
SMA4,-0.58175
SMA4,0.08317
GUSBP3,0.08317
SERF1A,-0.71819
SMN1,-0.71819
NAIP,-0.71819
NAIP,0.068
GTF2H2,0.068
BDP1,0.068
MCCC2,0.068
CARTPT,0.068
MRPS27,0.068
PTCD2,0.068
FCHO2,0.068
TMEM174,0.068
FOXD1,0.068
BTF3,0.068
ANKRA2,0.068
UTP15,0.068
ARHGEF28,0.068
ENC1,0.068
HEXB,0.068
GFM2,0.068
NSA2,0.068
FAM169A,0.068
GCNT4,0.068
ANKRD31,0.068
HMGCR,0.068
ANKDD1B,0.068
POC5,0.068
SV2C,0.068
IQGAP2,0.068
F2R,0.068
F2RL1,0.068
S100Z,0.068
CRHBP,0.068
AGGF1,0.068
AP3B1,0.068
SCAMP1,0.068
LHFPL2,0.068
ARSB,0.068
DMGDH,0.068
JMY,0.068
PAPD4,0.068
CMYA5,0.068
MTX3,0.068
THBS4,0.068
SERINC5,0.068
SPZ1,0.068
ZFYVE16,0.068
FAM151B,0.068
ANKRD34B,0.068
DHFR,0.068
MSH3,0.068
RASGRF2,0.068
ATP6AP1L,0.068
TMEM167A,0.068
XRCC4,0.068
VCAN,0.068
EDIL3,0.068
NBPF22P,0.068
RASA1,0.068
CCNH,0.068
TMEM161B,0.068
MEF2C,0.068
LOC731157,0.068
MBLAC2,0.068
POLR3G,0.068
LYSMD3,0.068
ADGRV1,0.068
ARRDC3,0.068
NR2F1,0.068
FAM172A,0.068
KIAA0825,0.068
FAM81B,0.068
ARSK,0.068
GPR150,0.068
SPATA9,0.068
ELL2,0.068
CAST,0.068
ERAP1,0.068
RGMB,0.068
CHD1,0.068
FAM174A,0.068
ST8SIA4,0.068
SLCO4C1,0.068
SLCO6A1,0.068
PAM,0.068
PPIP5K2,0.068
C5orf30,0.068
NUDT12,0.068
LMNB1,0.04065
C5orf63,0.04065
MEGF10,0.04065
PRRC1,0.04065
CTXN3,0.04065
SLC12A2,0.04065
SLC27A6,0.04065
ISOC1,0.04065
ADAMTS19,0.04065
CHSY3,0.04065
LYRM7,0.04065
CDC42SE2,0.04065
RAPGEF6,0.04065
FNIP1,0.04065
ACSL6,0.04065
CSF2,0.04065
SLC22A5,0.04065
IRF1,0.04065
IL5,0.04065
RAD50,0.04065
IL13,0.04065
IL4,0.04065
KIF3A,0.04065
CCNI2,0.04065
SOWAHA,0.04065
SOWAHA,0.97815
PAIP2,0.55617
SLC23A1,0.55617
PROB1,0.55617
SPATA24,0.55617
DNAJC18,0.55617
ECSCR,0.55617
TMEM173,0.55617
UBE2D2,0.55617
PSD2,0.55617
NRG2,0.55617
PURA,0.55617
IGIP,0.55617
CYSTM1,0.55617
PFDN1,0.55617
HBEGF,0.55617
SLC4A9,0.55617
SRA1,0.55617
APBB3,0.55617
SLC35A4,0.55617
CD14,0.55617
IK,0.55617
HARS,0.55617
HARS2,0.55617
PCDHA1,0.55617
PCDHB1,0.55617
PCDHB2,0.55617
PCDHB3,0.55617
PCDHB4,0.55617
PCDHB5,0.55617
PCDHB6,0.55617
PCDHB17P,0.55617
PCDHB7,0.55617
PCDHB8,0.55617
PCDHB9,0.55617
PCDHB10,0.55617
PCDHB12,0.55617
PCDHB13,0.55617
PCDHB14,0.55617
PCDHB18P,0.55617
PCDHB19P,0.55617
PCDHB15,0.55617
SLC25A2,0.55617
TAF7,0.55617
PCDHGA1,0.55617
DIAPH1,0.55617
HDAC3,0.55617
RELL2,0.55617
FCHSD1,0.55617
ARAP3,0.55617
PCDH1,0.55617
KIAA0141,0.55617
PCDH12,0.55617
RNF14,0.55617
NDFIP1,0.55617
SPRY4,0.55617
FGF1,0.55617
NR3C1,0.55617
YIPF5,0.55617
KCTD16,0.55617
PRELID2,0.55617
GRXCR2,0.55617
SH3RF2,0.55617
PLAC8L1,0.55617
LARS,0.55617
POU4F3,0.55617
PPP2R2B,0.55617
STK32A,0.55617
DPYSL3,0.55617
JAKMIP2,0.55617
SPINK1,0.55617
SCGB3A2,0.55617
C5orf46,0.55617
SPINK5,0.55617
SPINK14,0.55617
SPINK6,0.55617
FBXO38,0.55617
HTR4,0.55617
ADRB2,0.55617
SH3TC2,0.55617
ABLIM3,0.55617
AFAP1L1,0.55617
GRPEL2,0.55617
PCYOX1L,0.55617
IL17B,0.55617
PPARGC1B,0.55617
PDE6A,0.55617
SLC26A2,0.55617
TIGD6,0.55617
HMGXB3,0.55617
CSF1R,0.55617
PDGFRB,0.55617
CDX1,0.55617
CAMK2A,0.55617
ARSI,0.55617
TCOF1,0.55617
CD74,0.55617
NDST1,0.55617
SYNPO,0.55617
MYOZ3,0.55617
RBM22,0.55617
SMIM3,0.55617
IRGM,0.55617
ZNF300,0.55617
ZNF300P1,0.55617
GPX3,0.55617
TNIP1,0.55617
ANXA6,0.55617
GM2A,0.55617
SLC36A3,0.55617
SLC36A2,0.55617
SLC36A1,0.55617
FAT2,0.55617
SPARC,0.55617
GLRA1,0.55617
NMUR2,0.55617
GRIA1,0.55617
FAM114A2,0.55617
GALNT10,0.55617
SAP30L,0.55617
HAND1,0.55617
LARP1,0.55617
FAXDC2,0.55617
CNOT8,0.55617
GEMIN5,0.55617
MRPL22,0.55617
KIF4B,0.55617
SGCD,0.55617
PPP1R2P3,0.55617
TIMD4,0.55617
HAVCR1,0.55617
HAVCR2,0.55617
ITK,0.55617
CYFIP2,0.55617
SOX30,0.55617
C5orf52,0.55617
LSM11,0.55617
CLINT1,0.55617
EBF1,0.55617
RNF145,0.55617
UBLCP1,0.55617
ADRA1B,0.55617
TTC1,0.55617
PWWP2A,0.55617
FABP6,0.55617
CCNJL,0.55617
C1QTNF2,0.55617
ZBED8,0.55617
SLU7,0.55617
PTTG1,0.55617
ATP10B,0.55617
GABRB2,0.55617
GABRA6,0.55617
GABRA1,0.55617
GABRG2,0.55617
CCNG1,0.55617
NUDCD2,0.55617
HMMR,0.55617
MAT2B,0.55617
TENM2,0.55617
RARS,0.55617
SLIT3,0.55617
SPDL1,0.55617
DOCK2,0.55617
FOXI1,0.55617
KCNIP1,0.55617
RANBP17,0.55617
TLX3,0.55617
FGF18,0.55617
SMIM23,0.55617
FBXW11,0.55617
STK10,0.55617
EFCAB9,0.55617
SH3PXD2B,0.55617
NEURL1B,0.55617
LOC101928093,0.55617
DUSP1,0.55617
ERGIC1,0.55617
RPL26L1,0.55617
ATP6V0E1,0.55617
CREBRF,0.55617
BNIP1,0.55617
NKX2-5,0.55617
STC2,0.55617
BOD1,0.55617
C5orf47,0.55617
MSX2,0.55617
DRD1,0.55617
HRH2,0.55617
CPLX2,0.55617
FAM153B,0.55617
SIMC1,0.55617
KIAA1191,0.55617
CLTB,0.55617
FAF2,0.55617
RNF44,0.55617
CDHR2,0.55617
GPRIN1,0.55617
SNCB,0.55617
EIF4E1B,0.55617
TSPAN17,0.55617
UNC5A,0.55617
HK3,0.55617
UIMC1,0.55617
ZNF346,0.55617
FGFR4,0.55617
NSD1,0.55617
LMAN2,0.55617
RGS14,0.55617
SLC34A1,0.55617
PFN3,0.55617
F12,0.55617
GRK6,0.55617
PRR7,0.55617
DBN1,0.55617
PDLIM7,0.55617
DOK3,0.55617
DDX41,0.55617
FAM193B,0.55617
TMED9,0.55617
B4GALT7,0.55617
LOC202181,0.55617
FAM153A,0.55617
PROP1,0.55617
FAM153C,0.55617
N4BP3,0.55617
NHP2,0.55617
HNRNPAB,0.55617
PHYKPL,0.55617
COL23A1,0.55617
CLK4,0.55617
ZNF354A,0.55617
ZFP2,0.55617
ZNF454,0.55617
GRM6,0.55617
ADAMTS2,0.55617
RUFY1,0.55617
C5orf60,0.55617
CANX,0.55617
MAML1,0.55617
MGAT4B,0.55617
SQSTM1,0.55617
TBC1D9B,0.55617
RNF130,0.55617
RASGEF1C,0.55617
MAPK9,0.55617
GFPT2,0.55617
CNOT6,0.55617
SCGB3A1,0.55617
FLT4,0.55617
OR2Y1,0.55617
ZFP62,0.55617
BTNL8,0.55617
BTNL3,0.55617
BTNL9,0.55617
OR2V1,0.55617
OR2V2,0.55617
TRIM7,0.55617
RIMS1,0.67252
RIMS1,2.00663
KHDC1,0.32655
DPPA5,0.32655
KHDC3L,0.32655
DDX43,0.32655
EEF1A1,0.32655
CD109,0.32655
COL12A1,0.32655
TMEM30A,0.32655
FILIP1,0.32655
SENP6,0.32655
MYO6,0.32655
IMPG1,0.32655
PHIP,0.34807
HMGN3,0.34807
LCA5,0.34807
SH3BGRL2,0.34807
ELOVL4,0.34807
TTK,0.34807
BCKDHB,0.34807
FAM46A,0.34807
IBTK,0.34807
UBE3D,0.34807
PGM3,0.34807
RWDD2A,0.34807
ME1,0.34807
PRSS35,0.34807
RIPPLY2,0.34807
MRAP2,0.34807
CEP162,0.34807
CEP162,-1.27573
TBX18,-1.27573
NT5E,-1.27573
SNX14,-1.27573
SYNCRIP,-1.27573
SNHG5,-1.27573
HTR1E,-1.27573
CGA,-1.27573
GJB7,-1.27573
SLC35A1,-1.27573
RARS2,-1.27573
ORC3,-1.27573
AKIRIN2,-1.27573
SPACA1,-1.27573
CNR1,-1.27573
RNGTT,-1.27573
RNGTT,0.89667
PNRC1,0.89667
SRSF12,0.89667
PM20D2,0.89667
GABRR1,0.89667
GABRR2,0.89667
UBE2J1,0.89667
RRAGD,0.89667
ANKRD6,0.89667
LYRM2,0.89667
MDN1,0.89667
CASP8AP2,0.89667
GJA10,0.89667
BACH2,0.89667
BACH2,-1.44902
POU3F2,0.27107
FAXC,0.27107
COQ3,0.27107
USP45,0.27107
TSTD3,0.27107
CCNC,0.27107
PRDM13,0.27107
MCHR2,0.27107
ASCC3,0.27107
GRIK2,-0.30961
GRIK2,-14.5467
RPS6KA2,0.50401
UNC93A,0.50401
TCP10,0.50401
HGC6.3,0.50401
FRMD1,0.50401
DACT2,0.50401
SMOC2,0.50401
THBS2,0.50401
WDR27,0.50401
C6orf120,0.50401
PHF10,0.50401
TCTE3,0.50401
ERMARD,0.50401
DLL1,0.50401
FAM120B,0.50401
PSMB1,0.50401
TBP,0.50401
CLK2P1,-0.79869
CCDC126,-0.79869
FAM221A,-0.79869
STK31,-0.79869
NPY,-0.79869
MPP6,-0.79869
OSBPL3,-0.79869
CYCS,-0.79869
C7orf31,-0.79869
NPVF,-0.79869
ZNF596,0.05746
FAM87A,0.05746
FBXO25,0.05746
TDRP,0.05746
ERICH1,0.05746
DLGAP2,0.05746
ARHGEF10,0.05746
KBTBD11,0.05746
MYOM2,0.05746
CSMD1,0.05746
MCPH1,0.05746
AGPAT5,0.05746
XKR5,0.05746
DEFA6,0.05746
DEFA4,0.05746
DEFA1,0.05746
DEFA5,0.05746
FAM66B,0.53691
CLDN23,0.05513
PPP1R3B,0.05513
TNKS,0.05513
MSRA,0.05513
PRSS55,0.05513
RP1L1,0.05513
SOX7,0.05513
XKR6,0.05513
MTMR9,0.05513
SLC35G5,0.05513
TDH,0.05513
BLK,0.05513
GATA4,0.05513
C8orf49,0.05513
NEIL2,0.05513
FDFT1,0.05513
CTSB,0.05513
DEFB136,0.05513
DEFB135,0.05513
DEFB134,0.05513
ZNF705D,0.05513
ZNF705D,0.95898
FAM66D,0.95898
FAM86B1,0.95898
FAM86B1,0.07091
FAM66A,0.07091
FAM90A25P,0.07091
FAM86B2,0.07091
LOC729732,0.07091
LONRF1,0.07091
DLC1,0.07091
C8orf48,0.07091
SGCZ,0.07091
TUSC3,0.07091
MSR1,0.07091
MICU3,0.07091
CNOT7,0.07091
VPS37A,0.07091
MTMR7,0.07091
SLC7A2,0.07091
PDGFRL,0.07091
MTUS1,0.07091
PCM1,0.07091
ASAH1,0.07091
NAT1,0.07091
NAT2,0.07091
PSD3,0.07091
SH2D4A,0.07091
LPL,0.07091
SLC18A1,0.07091
ATP6V1B2,0.07091
DOK2,0.07091
XPO7,0.07091
NPM2,0.07091
FGF17,0.07091
DMTN,0.07091
FAM160B2,0.07091
NUDT18,0.07091
REEP4,0.07091
LGI3,0.07091
SFTPC,0.07091
PHYHIP,0.07091
SLC39A14,0.07091
PPP3CC,0.07091
SORBS3,0.07091
PDLIM2,0.07091
C8orf58,0.07091
BIN3,0.07091
EGR3,0.07091
PEBP4,0.07091
RHOBTB2,0.07091
CHMP7,0.07091
LOXL2,0.07091
NKX3-1,0.07091
NKX2-6,0.07091
STC1,0.07091
ADAM28,0.07091
NEFM,0.07091
NEFL,0.07091
GNRH1,0.07091
KCTD9,0.07091
CDCA2,0.07091
EBF2,0.07091
PPP2R2A,0.07091
PNMA2,0.07091
DPYSL2,0.07091
ADRA1A,0.07091
STMN4,0.07091
TRIM35,0.07091
PTK2B,0.07091
CHRNA2,0.07091
EPHX2,0.07091
CCDC25,0.07091
PBK,0.07091
SCARA5,0.07091
NUGGC,0.07091
ELP3,0.07091
PNOC,0.07091
ZNF395,0.07091
FZD3,0.07091
EXTL3,0.07091
INTS9,0.07091
HMBOX1,0.07091
KIF13B,0.07091
DUSP4,0.07091
RBPMS-AS1,0.07091
RBPMS,0.07091
GTF2E2,0.07091
GSR,0.07091
UBXN8,0.07091
PPP2CB,0.07091
TEX15,0.07091
PURG,0.07091
WRN,0.07091
NRG1,0.07091
RNF122,0.07091
DUSP26,0.07091
KCNU1,0.07091
LINC01605,0.07091
ZNF703,0.07091
BRF2,0.07091
GOT1L1,0.07091
ADRB3,0.07091
ASH2L,0.07091
STAR,0.07091
LSM1,0.07091
BAG4,0.07091
DDHD2,0.07091
LETM2,0.07091
FGFR1,0.07091
C8orf86,0.07091
RNF5P1,0.07091
TACC1,0.07091
PLEKHA2,0.07091
HTRA4,0.07091
TM2D2,0.07091
ADAM9,0.07091
ADAM32,0.07091
ADAM3A,0.07091
ADAM18,0.07091
ADAM2,0.07091
IDO2,0.07091
ZMAT4,0.07091
SFRP1,0.07091
GOLGA7,0.07091
GINS4,0.07091
ANK1,0.07091
KAT6A,0.07091
AP3M2,0.07091
PLAT,0.07091
IKBKB,0.07091
POLB,0.07091
DKK4,0.07091
VDAC3,0.07091
SLC20A2,0.07091
SMIM19,0.07091
CHRNA6,0.07091
THAP1,0.07091
RNF170,0.07091
HOOK3,0.07091
FNTA,0.07091
POMK,0.07091
HGSNAT,0.07091
POTEA,0.07091
PXDNL,-19.2374
PXDNL,0.57362
ARMC1,0.55362
MTFR1,0.55362
PDE7A,0.55362
DNAJC5B,0.55362
CRH,0.55362
RRS1-AS1,0.55362
ADHFE1,0.55362
C8orf46,0.55362
MYBL1,0.55362
C8orf44-SGK3,0.55362
MCMDC2,0.55362
SNHG6,0.55362
TCF24,0.55362
CSPP1,0.55362
ARFGEF1,0.55362
CPA6,0.55362
C8orf34,0.55362
SULF1,0.55362
SLCO5A1,0.55362
PRDM14,0.55362
TRAM1,0.55362
LACTB2,0.55362
XKR9,0.55362
EYA1,0.55362
EYA1,0.41026
LOC392232,0.41026
KCNB2,0.41026
SBSPON,0.41026
C8orf89,0.41026
RDH10,0.41026
STAU2-AS1,0.41026
STAU2,0.41026
UBE2W,0.41026
TMEM70,0.41026
LY96,0.41026
JPH1,0.41026
GDAP1,0.41026
MIR2052HG,0.41026
PI15,0.41026
CRISPLD1,0.41026
HNF4G,0.41026
ZFHX4,0.41026
PEX2,0.41026
PKIA,0.41026
ZC2HC1A,0.41026
IL7,0.41026
STMN2,0.41026
HEY1,0.41026
TPD52,0.41026
ZBTB10,0.41026
ZNF704,0.41026
PAG1,0.41026
ZFAND1,0.41026
CHMP4C,0.41026
SNX16,0.41026
RALYL,0.41026
LRRCC1,0.41026
C8orf59,0.41026
CA13,0.41026
CA3,0.41026
CA2,0.41026
REXO1L2P,0.41026
GRHL2,0.88589
MYC,1.73556
PVT1,1.73556
CCDC26,1.73556
GSDMC,1.73556
FAM49B,1.73556
ASAP1,1.73556
EFR3A,1.73556
LRRC6,1.73556
TMEM71,1.73556
PHF20L1,1.73556
TG,1.73556
TSNARE1,1.55161
JRK,1.55161
PSCA,1.55161
THEM6,1.55161
SLURP1,1.55161
LY6D,1.55161
CYP11B2,1.55161
LY6E,1.55161
C8orf31,1.55161
GPIHBP1,1.55161
GLI4,1.55161
ZNF696,1.55161
TOP1MT,1.55161
RHPN1-AS1,1.55161
RHPN1,1.55161
MAFA,1.55161
ZC3H3,1.55161
EEF1D,1.55161
TIGD5,1.55161
TSTA3,1.55161
ZNF623,1.55161
MAPK15,1.55161
PUF60,1.55161
NRBP2,1.55161
EPPK1,1.55161
PLEC,1.55161
PARP10,1.55161
OPLAH,1.55161
EXOSC4,1.55161
GPAA1,1.55161
CYC1,1.55161
SHARPIN,1.55161
HGH1,1.55161
MROH1,1.55161
BOP1,1.55161
HSF1,1.55161
DGAT1,1.55161
SCRT1,1.55161
TMEM249,1.55161
SLC52A2,1.55161
ADCK5,1.55161
CPSF1,1.55161
SLC39A4,1.55161
VPS28,1.55161
TONSL,1.55161
KIFC2,1.55161
FOXH1,1.55161
MFSD3,1.55161
RECQL4,1.55161
LRRC14,1.55161
LRRC24,1.55161
ARHGAP39,1.55161
ZNF251,1.55161
ZNF34,1.55161
RPL8,1.55161
ZNF7,1.55161
ZNF250,1.55161
ZNF16,1.55161
ZNF252P,1.55161
ZNF252P,1.36671
C8orf33,1.36671
DMRTA1,0.10094
ELAVL2,0.10094
TUSC1,0.10094
CAAP1,0.10094
PLAA,0.10094
IFT74,0.10094
TEK,0.10094
EQTN,0.10094
MOB3B,0.10094
C9orf72,0.10094
LINGO2,0.10094
ACO1,0.10094
DDX58,0.10094
TOPORS,0.10094
NDUFB6,0.10094
TAF1L,0.10094
TMEM215,0.10094
SMU1,0.10094
BAG1,0.10094
CHMP5,0.10094
NFX1,0.10094
AQP7,0.10094
AQP3,0.10094
NOL6,0.10094
ANKRD18B,0.10094
ANXA2P2,0.10094
PTENP1,0.10094
PRSS3,0.10094
UBE2R2,0.10094
UBAP2,0.10094
DCAF12,0.10094
UBAP1,0.10094
KIF24,0.10094
NUDT2,0.10094
C9orf24,0.10094
FAM219A,0.10094
DNAI1,0.10094
ENHO,0.10094
CNTFR,0.10094
RPP25L,0.10094
DCTN3,0.10094
ARID3C,0.10094
SIGMAR1,0.10094
IL11RA,0.10094
CCL19,0.10094
CCL21,0.10094
FAM205A,0.10094
FAM205BP,0.10094
DNAJB5,0.10094
C9orf131,0.10094
VCP,0.10094
FANCG,0.10094
PIGO,0.10094
STOML2,0.10094
FAM214B,0.10094
UNC13B,0.10094
RUSC2,0.10094
FAM166B,0.10094
TESK1,0.10094
SIT1,0.10094
CCDC107,0.10094
CA9,0.10094
TLN1,0.10094
CREB3,0.10094
SPAG8,0.10094
HINT2,0.10094
TMEM8B,0.10094
HRCT1,0.10094
OR2S2,0.10094
GLIPR2,0.10094
CCIN,0.10094
RNF38,0.10094
MELK,0.10094
PAX5,0.10094
ZCCHC7,0.10094
GRHPR,0.10094
ZBTB5,0.10094
POLR1E,0.10094
FBXO10,0.10094
SHB,0.10094
ALDH1B1,0.10094
IGFBPL1,0.10094
CNTNAP3,0.10094
LOC554249,0.10094
ANKRD20A3,0.10094
LOC554249,0.50311
LINC01189,0.50311
LOC728673,0.50311
ANKRD20A3,0.50311
AQP7P3,0.50311
FOXD4L5,0.50311
CBWD5,0.50311
FOXD4L4,0.50311
MVB12B,0.30723
LMX1B,0.30723
ZBTB43,0.30723
ZBTB34,0.30723
RALGPS1,0.30723
GARNL3,0.30723
SLC2A8,0.30723
ZNF79,0.30723
RPL12,0.30723
LRSAM1,0.30723
FAM129B,0.30723
STXBP1,0.30723
MIR1268A,0.30723
ZMYND11,0.06623
DIP2C,0.06623
LARP4B,0.06623
IDI2,0.06623
IDI2-AS1,0.06623
IDI1,0.06623
ADARB2,0.06623
PFKP,0.06623
PITRM1,0.06623
KLF6,0.06623
AKR1E2,1.15265
AKR1C2,1.15265
AKR1C3,1.15265
AKR1C8P,0.05702
AKR1C4,0.05702
UCN3,0.05702
TUBAL3,0.05702
NET1,0.05702
CALML5,0.05702
ASB13,0.05702
FAM208B,0.05702
GDI2,0.05702
ANKRD16,0.05702
FBXO18,0.05702
IL15RA,0.05702
IL2RA,0.05702
RBM17,0.05702
PFKFB3,0.05702
PRKCQ,0.05702
SFMBT2,0.05702
ITIH5,0.05702
ITIH2,0.05702
KIN,0.05702
GATA3,0.05702
CELF2,0.05702
ECHDC3,0.05702
PROSER2,0.05702
UPF2,0.05702
DHTKD1,0.05702
SEC61A2,0.05702
NUDT5,0.05702
CDC123,0.05702
CAMK1D,0.05702
CCDC3,0.05702
OPTN,0.05702
MCM10,0.05702
UCMA,0.05702
SEPHS1,0.05702
PRPF18,0.05702
FRMD4A,0.05702
FAM107B,0.05702
HSPA14,0.05702
SUV39H2,0.05702
SUV39H2,0.1827
DCLRE1C,0.1827
MEIG1,0.1827
NMT2,0.1827
FAM171A1,0.1827
ITGA8,0.1827
PTER,0.1827
C1QL3,0.1827
RSU1,0.1827
CUBN,0.1827
TRDMT1,0.1827
VIM,0.1827
ST8SIA6,0.1827
HACD1,0.1827
STAM,0.1827
MRC1,0.1827
SLC39A12,0.1827
CACNB2,0.1827
NSUN6,0.1827
MALRD1,0.1827
MLLT10,1.12763
MLLT10,0.12596
ACTR3BP5,1.12328
PHYHIPL,0.05715
FAM13C,0.05715
CCDC6,0.05715
ANK3,0.05715
CDK1,0.05715
RHOBTB1,0.05715
TMEM26,0.05715
ARID5B,0.05715
ZNF365,0.05715
ADO,0.05715
EGR2,0.05715
NRBF2,0.05715
JMJD1C,0.05715
REEP3,0.05715
ANXA2P3,0.05715
CTNNA3,0.05715
DNAJC12,0.05715
SIRT1,0.05715
HERC4,0.05715
MYPN,0.05715
ATOH7,0.05715
PBLD,0.05715
HNRNPH3,0.05715
RUFY2,0.05715
DNA2,0.05715
SLC25A16,0.05715
TET1,0.05715
CCAR1,0.05715
STOX1,0.05715
DDX50,0.05715
DDX21,0.05715
SRGN,0.05715
SUPV3L1,0.05715
HKDC1,0.05715
HK1,0.05715
TACR2,0.05715
TSPAN15,0.05715
NEUROG3,0.05715
COL13A1,0.05715
H2AFY2,0.05715
AIFM2,0.05715
TYSND1,0.05715
SAR1A,0.05715
PPA1,0.05715
NPFFR1,0.05715
LRRC20,0.05715
EIF4EBP2,0.05715
NODAL,0.05715
PALD1,0.05715
PRF1,0.05715
ADAMTS14,0.05715
TBATA,0.05715
SGPL1,0.05715
PCBD1,0.05715
UNC5B,0.05715
SLC29A3,0.05715
CDH23,0.05715
PSAP,0.05715
CHST3,0.05715
SPOCK2,0.05715
ASCC1,0.05715
ANAPC16,0.05715
DDIT4,0.05715
DNAJB12,0.05715
MICU1,0.05715
MCU,0.05715
OIT3,0.05715
P4HA1,0.05715
NUDT13,0.05715
ECD,0.05715
CFAP70,0.05715
ANXA7,0.05715
MSS51,0.05715
PPP3CB,0.05715
MYOZ1,0.05715
SYNPO2L,0.05715
SEC24C,0.05715
FUT11,0.05715
CHCHD1,0.05715
ZSWIM8,0.05715
NDST2,0.05715
CAMK2G,0.05715
C10orf55,0.05715
VCL,0.05715
AP3M1,0.05715
ADK,0.05715
DUPD1,0.05715
DUSP13,0.05715
SAMD8,0.05715
VDAC2,0.05715
COMTD1,0.05715
ZNF503,0.05715
DLG5,0.05715
DLG5-AS1,0.05715
POLR3A,0.05715
RPS24,0.05715
ZMIZ1,0.05715
PPIF,0.05715
ZCCHC24,0.05715
EIF5AL1,0.05715
SFTPA2,0.05715
SFTPA1,0.05715
BMS1P21,0.05715
SFTPD,0.05715
TMEM254,0.05715
MAT1A,0.05715
DYDC1,0.05715
DYDC2,0.05715
FAM213A,0.05715
SH2D4B,0.05715
NRG3,0.05715
GHITM,0.05715
C10orf99,0.05715
CDHR1,0.05715
LRIT2,0.05715
LRIT1,0.05715
CCSER2,0.05715
GRID1,0.05715
LDB3,0.05715
MMRN2,0.05715
AGAP11,0.05715
FAM25A,0.05715
GLUD1,0.05715
FAM35A,0.05715
NUTM2D,0.05715
MINPP1,0.05715
PAPSS2,0.05715
TRIM8,0.06851
CYP17A1,0.06851
CALHM2,0.06851
CALHM3,0.06851
NEURL1,0.06851
SH3PXD2A,0.06851
SLK,0.06851
COL17A1,0.06851
SFR1,0.06851
CFAP43,0.06851
GSTO1,0.06851
GSTO2,0.06851
ITPRIP,0.06851
CFAP58,0.06851
SORCS3,0.06851
SORCS1,0.06851
XPNPEP1,0.06851
ADD3,0.06851
MXI1,0.06851
SMNDC1,0.06851
DUSP5,0.06851
SMC3,0.06851
RBM20,0.06851
PDCD4,0.06851
BBIP1,0.06851
SHOC2,0.06851
ADRA2A,0.06851
GPAM,0.06851
TECTB,0.06851
ZDHHC6,0.06851
VTI1A,0.06851
TCF7L2,0.06851
HABP2,0.06851
NRAP,0.06851
CASP7,0.06851
PLEKHS1,0.06851
DCLRE1A,0.06851
ADRB1,0.06851
VWA2,0.06851
AFAP1L2,0.06851
ABLIM1,0.06851
FAM160B1,0.06851
TRUB1,0.06851
ATRNL1,0.06851
GFRA1,0.06851
CCDC172,0.06851
PNLIPRP3,0.06851
PNLIP,0.06851
PNLIPRP1,0.06851
PNLIPRP2,0.06851
C10orf82,0.06851
HSPA12A,0.06851
ENO4,0.06851
VAX1,0.06851
KCNK18,0.06851
PDZD8,0.06851
EMX2,0.06851
RAB11FIP2,0.06851
PRLHR,0.06851
CACUL1,0.06851
NANOS1,0.06851
FAM45A,0.06851
SFXN4,0.06851
PRDX3,0.06851
GRK5,0.06851
RGS10,0.06851
TIAL1,0.06851
BAG3,0.06851
INPP5F,0.06851
MCMBP,0.06851
SEC23IP,0.06851
OAT,0.86667
LHPP,0.86667
CTBP2,0.86667
EDRF1,0.86667
MMP21,0.86667
UROS,0.86667
BCCIP,0.86667
DHX32,0.86667
ADAM12,0.86667
C10orf90,0.86667
NPS,0.86667
FOXI2,0.86667
CLRN3,0.86667
PTPRE,0.86667
MKI67,0.86667
MGMT,0.86667
EBF3,0.86667
CTAGE7P,0.86667
TCERG1L,0.86667
LINC01164,0.86667
PPP2R2D,0.86667
BNIP3,0.86667
JAKMIP3,0.86667
RIC8A,0.04514
SIRT3,0.04514
PSMD13,0.04514
IFITM5,0.04514
IFITM2,0.04514
IFITM3,0.04514
B4GALNT4,0.04514
PKP3,0.04514
SIGIRR,0.04514
ANO9,0.04514
PTDSS2,0.04514
RNH1,0.04514
HRAS,0.04514
LRRC56,0.04514
LMNTD2,0.04514
RASSF7,0.04514
MIR210HG,0.04514
LOC143666,0.04514
PHRF1,0.04514
IRF7,0.04514
CDHR5,0.04514
SCT,0.04514
DRD4,0.04514
DEAF1,0.04514
EPS8L2,0.04514
TALDO1,0.04514
